
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers/Phase2Answers-2b.txt
Test File:                                        Maxdiff-llama-answers/Llama.maxdiff-2b.txt
Number of MaxDiff Questions:                      95
Number of Least Illustrative Guessed Correctly:   37
Number of Least Illustrative Guessed Incorrectly: 58
Accuracy of Least Illustrative Guesses:            38.9%
Number of Most Illustrative Guessed Correctly:    30
Number of Most Illustrative Guessed Incorrectly:  65
Accuracy of Most Illustrative Guesses:             31.6%
Overall Accuracy:                                  35.3%
